StudentID,FirstName,LastName,Gender,DateOfBirth,Course,EnrollmentDate,LastAttendanceDate,Grades,Status,Age,Email,TotalAbsences,PredictedDropout
S1486,Joshua,Armstrong,Male,12/13/1997,Economics,6/12/2023,11/21/2024,78,Inactive,27,ohenson@example.org,6,Yes
S6879,April,Thompson,Male,3/13/2006,Chemistry,10/19/2020,3/14/2024,88,Active,24,deanna50@example.net,1,No
S3785,Jeffrey,Arnold,Female,2/17/1998,Computer Science,12/2/2023,2/12/2024,96,Inactive,23,wallskatherine@example.com,10,No
S2604,Anna,Miller,Female,6/16/1994,Psychology,4/19/2023,8/19/2024,80,Inactive,30,arasmussen@example.net,3,Yes
S6072,Joshua,Harris,Male,1/12/2000,Engineering,8/17/2024,8/26/2024,92,Active,25,gailwilcox@example.net,10,No
S7478,Vicki,Powell,Male,7/3/1997,Biology,11/16/2023,8/11/2024,93,Active,29,monique63@example.net,1,No
S5399,Steven,Nguyen,Male,7/13/2006,Computer Science,12/31/2023,7/24/2024,65,Active,24,cjuarez@example.org,10,Yes
S8284,Julie,Kemp,Male,2/2/2005,Economics,9/1/2023,6/25/2024,71,Active,18,fernando61@example.net,0,No
S7886,Justin,Spence,Female,2/3/1999,Economics,11/18/2022,5/21/2024,92,Inactive,27,amber32@example.com,6,Yes
S5490,Nicholas,Murphy,Female,7/31/1996,Psychology,3/14/2020,2/6/2024,80,Inactive,26,williamsjoe@example.org,6,No
S3731,Peter,Coleman,Male,3/9/1994,Mathematics,1/4/2021,8/8/2024,83,Active,23,christophermason@example.org,9,Yes
S6262,Diamond,Ayers,Male,5/2/1997,Computer Science,10/30/2022,11/8/2024,70,Active,25,kleinbriana@example.net,8,No
S8003,Madison,Sosa,Male,4/26/1995,History,7/28/2024,1/12/2024,92,Inactive,26,david58@example.net,2,No
S8308,Jacob,Doyle,Female,12/12/2005,Psychology,2/25/2021,6/11/2024,95,Active,18,vcox@example.net,1,Yes
S9596,Toni,Rivers,Male,5/19/2005,Computer Science,8/7/2023,8/22/2024,61,Active,27,pholmes@example.com,8,Yes
S4024,Melissa,Wright,Female,10/15/1998,Philosophy,12/7/2024,1/17/2024,62,Inactive,24,wilsoncorey@example.net,0,Yes
S5831,Paul,Romero,Female,3/5/1996,Biology,4/14/2020,4/24/2024,78,Inactive,26,patrick58@example.net,0,No
S1794,Jacqueline,Mcdonald,Male,4/6/1998,History,12/31/2020,7/26/2024,79,Inactive,24,danielsreginald@example.com,4,No
S8602,Charles,Zuniga,Male,10/19/1995,Economics,12/16/2022,2/2/2024,63,Inactive,23,jose18@example.com,5,No
S3208,Brandon,Sanford,Male,2/20/2000,Chemistry,6/26/2020,10/28/2024,98,Inactive,26,duffyjames@example.org,9,No
S8749,Kevin,Charles,Female,6/22/2000,Computer Science,2/11/2020,4/4/2024,65,Active,24,devontucker@example.org,8,No
S8172,Barbara,Lester,Male,1/25/2006,Physics,2/8/2024,7/28/2024,87,Inactive,18,valerie08@example.com,9,No
S6377,Christopher,Farrell,Male,4/28/2006,History,3/26/2023,4/1/2024,87,Inactive,27,gonzalezryan@example.net,3,No
S2285,Lauren,Campbell,Female,1/13/2002,Chemistry,1/1/2021,12/11/2024,91,Inactive,29,lnavarro@example.com,10,Yes
S6562,Kaitlyn,Arellano,Male,3/7/2000,Biology,4/29/2024,8/28/2024,100,Inactive,27,michael84@example.net,2,No
S7554,Theresa,Phillips,Female,10/17/2005,Physics,11/29/2022,5/8/2024,70,Active,24,perezmisty@example.net,6,No
S2547,Denise,Whitehead,Female,11/30/2003,Mathematics,7/13/2023,12/7/2024,70,Inactive,24,muellerbrandon@example.com,7,Yes
S5133,Karen,Lewis,Male,10/1/1996,Mathematics,10/9/2024,7/10/2024,99,Inactive,22,joshua51@example.com,3,No
S4686,Christopher,Burke,Female,12/12/1998,Biology,11/28/2020,8/29/2024,68,Active,19,pamelarodriguez@example.com,1,Yes
S5738,Christina,Lloyd,Male,8/19/2003,Engineering,3/4/2020,7/3/2024,78,Active,22,chavezmegan@example.org,8,Yes
S7660,Katrina,Horton,Male,7/21/2000,History,5/12/2023,3/24/2024,61,Inactive,28,hernandezchristina@example.net,8,Yes
S4041,Wayne,Brown,Female,12/18/2000,History,7/3/2023,6/19/2024,87,Active,25,susanmckenzie@example.com,2,No
S6320,Chad,Jackson,Male,4/28/1998,Psychology,5/21/2024,12/13/2024,79,Active,20,macklee@example.net,8,Yes
S3254,Jessica,Potter,Male,6/12/2002,Physics,1/20/2022,9/24/2024,97,Inactive,19,cranerobert@example.net,9,No
S3405,Laura,Stewart,Female,11/1/2000,Engineering,10/4/2020,7/23/2024,93,Active,23,jackson11@example.org,1,Yes
S4121,Nicholas,Marks,Male,5/17/2002,Mathematics,8/10/2021,3/15/2024,76,Inactive,26,davidjohnson@example.net,9,Yes
S5230,Zachary,Fleming,Male,5/15/1994,Biology,7/12/2024,3/8/2024,84,Inactive,24,tabitha37@example.com,8,Yes
S8577,Daniel,Burton,Female,6/5/1996,Philosophy,1/26/2022,8/3/2024,78,Active,29,amberward@example.org,8,Yes
S1054,Kelly,Morris,Female,4/16/2006,Computer Science,8/30/2021,5/25/2024,75,Active,23,qwilson@example.com,2,No
S3799,Brandon,Hall,Female,5/23/2002,History,8/10/2023,10/23/2024,79,Active,19,williampierce@example.net,6,Yes
S3435,Colleen,Henry,Female,1/31/2005,History,4/24/2023,8/7/2024,61,Active,28,jamesmacdonald@example.net,5,Yes
S3321,Jo,Barajas,Female,8/9/1996,Physics,10/12/2021,2/5/2024,70,Inactive,22,catherine34@example.com,6,No
S9028,Matthew,Thompson,Male,2/10/1994,Biology,12/19/2020,4/28/2024,85,Inactive,21,jose46@example.net,9,Yes
S4839,Nicole,Barnett,Male,4/16/2006,Biology,5/1/2023,5/10/2024,70,Inactive,18,silvalauren@example.com,2,Yes
S3589,Theresa,English,Female,4/18/1996,Psychology,4/3/2022,11/10/2024,66,Active,23,nicholas24@example.net,9,Yes
S7876,Alexis,Tanner,Female,8/19/2001,Chemistry,11/16/2021,8/28/2024,79,Inactive,25,darrensanchez@example.net,10,Yes
S4419,Lindsay,Rivera,Female,5/9/2002,Chemistry,1/25/2021,11/15/2024,99,Active,21,matthew53@example.org,9,Yes
S5586,Jose,Sharp,Female,1/26/1995,Economics,3/4/2023,2/24/2024,69,Inactive,30,shunter@example.org,6,Yes
S1077,Cynthia,Smith,Male,10/10/2004,Mathematics,6/28/2023,3/28/2024,72,Active,24,lawrence19@example.net,10,No
S6219,Jasmine,Martinez,Male,4/29/2000,Psychology,12/7/2024,2/28/2024,74,Active,24,dawnadams@example.net,0,Yes
S1008,Emily,Cooper,Female,10/30/1996,Philosophy,10/2/2021,5/2/2024,94,Active,22,rcunningham@example.com,7,Yes
S7337,Joshua,Shelton,Female,12/7/2002,Chemistry,2/2/2022,1/9/2024,80,Active,26,raymondrandolph@example.org,9,Yes
S7593,Monica,Murphy,Female,10/2/2000,Computer Science,6/29/2022,9/9/2024,87,Inactive,26,marthawalker@example.net,5,Yes
S4478,Erin,Brown,Female,7/30/1999,Economics,1/22/2022,9/24/2024,92,Active,23,tammy99@example.com,8,No
S8410,Vanessa,Johnson,Male,2/26/2002,Chemistry,12/1/2020,9/30/2024,60,Active,28,ihood@example.net,0,No
S2259,Jeffery,Hernandez,Female,12/6/1998,Chemistry,12/26/2023,10/30/2024,96,Inactive,29,billcole@example.com,10,Yes
S3506,Michelle,Aguirre,Female,4/8/2004,Computer Science,1/16/2021,12/12/2024,77,Active,26,wyoung@example.org,7,Yes
S7592,Jeffery,Wilkerson,Female,9/7/1994,Mathematics,10/29/2023,5/23/2024,69,Active,27,banderson@example.com,2,No
S4832,Carlos,Boone,Female,6/12/1994,Mathematics,8/15/2020,9/1/2024,84,Inactive,26,melissa73@example.net,2,Yes
S5005,Gary,Taylor,Female,12/28/2002,Economics,3/28/2020,6/5/2024,64,Inactive,26,marshallsusan@example.net,6,Yes
S8651,Julie,Rowe,Female,11/6/1997,History,9/7/2024,4/25/2024,70,Inactive,22,emilywhite@example.com,6,Yes
S3787,Amy,Baldwin,Female,10/21/2003,Chemistry,5/27/2023,7/7/2024,87,Inactive,24,pricerobert@example.com,7,No
S5016,Ernest,Thompson,Female,9/5/2004,Mathematics,3/30/2023,2/28/2024,100,Inactive,18,erika10@example.net,9,Yes
S8716,Christy,Henderson,Male,6/18/2004,Biology,9/15/2023,9/8/2024,83,Inactive,24,wellsbeth@example.org,1,No
S4687,Victoria,Case,Female,3/5/1999,Chemistry,7/13/2023,3/18/2024,79,Inactive,26,juliavaughn@example.com,6,No
S4150,Jesse,Stewart,Female,9/10/1996,History,11/2/2020,6/26/2024,68,Active,24,hailey44@example.net,10,Yes
S1576,Jennifer,Cook,Female,1/26/2002,Physics,3/23/2024,5/22/2024,93,Active,29,kmartin@example.org,5,No
S8974,Elizabeth,Palmer,Female,1/25/2004,Philosophy,4/28/2024,5/6/2024,96,Inactive,18,charles34@example.org,4,Yes
S2248,Stephanie,Campbell,Female,8/3/1996,Philosophy,1/24/2023,5/4/2024,62,Active,20,shermanchristine@example.net,3,Yes
S2970,John,Trujillo,Female,9/1/2005,Physics,6/2/2020,2/16/2024,64,Active,25,torresjeffrey@example.net,6,Yes
S6675,Ashley,Estrada,Female,3/24/1999,History,11/15/2020,1/24/2024,92,Active,29,simmonsdenise@example.org,6,No
S7364,Jeffrey,Cardenas,Female,10/31/2004,Chemistry,9/12/2022,8/16/2024,77,Inactive,26,bettyhenson@example.com,8,No
S1284,Jennifer,Hood,Female,6/15/1995,Computer Science,10/8/2021,3/2/2024,91,Active,19,jball@example.com,8,No
S2304,Garrett,Garcia,Female,1/27/1995,Philosophy,11/28/2022,11/27/2024,70,Active,25,deborah47@example.com,7,Yes
S6956,David,Peterson,Male,3/16/2003,Engineering,3/22/2022,12/16/2024,66,Inactive,20,mariajones@example.net,8,Yes
S2282,Justin,Peterson,Male,12/16/1997,Biology,12/5/2020,2/6/2024,79,Inactive,22,silvacrystal@example.com,0,Yes
S4776,Jessica,Daniel,Male,9/11/2001,Philosophy,1/14/2020,2/13/2024,96,Active,26,pruittjason@example.com,8,Yes
S9083,Gina,Zamora,Male,12/7/2004,Engineering,6/28/2020,2/27/2024,84,Active,19,hendersonjordan@example.com,9,No
S4044,Ashley,Hernandez,Female,7/22/2004,Physics,1/26/2024,5/16/2024,86,Active,27,kchavez@example.org,7,No
S6486,Ashley,Martin,Male,3/23/2000,Psychology,4/13/2021,5/25/2024,73,Active,25,colleenmoore@example.net,3,No
S1782,Heather,Murillo,Female,6/30/1994,Philosophy,1/1/2020,4/23/2024,100,Active,22,joanna33@example.net,2,No
S1009,Bradley,Hawkins,Male,3/20/1995,Engineering,3/11/2023,9/17/2024,86,Inactive,28,stewartchristine@example.com,10,No
S7571,Jose,Kelly,Female,12/4/1998,Computer Science,1/26/2023,2/15/2024,94,Active,30,tiffany55@example.com,0,No
S5201,Michelle,Gutierrez,Female,7/2/1995,Computer Science,12/17/2020,9/5/2024,90,Active,21,danielbradley@example.net,9,No
